"","Year","Date","Marine.Park","SectorRegion","Name","Reef","Site","Site_notes","Zone","Transect","Depth","Complexity","Total.Macroalgae","Total.HARD.CORAL","Gradient","Total","id","total","match","coral","simpD","shanH","FDis"
"28",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 5","","Crest",1,3,4,6,18,"",100,"Flinders 5 Crest 1 2018",100,"yes",18,0.790123456790123,1.65910482941921,0.129498208842939
"29",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 5","","Crest",2,2,3.5,15,30,"",100,"Flinders 5 Crest 2 2018",100,"yes",30,0.84,1.88953760347123,0.153199479354768
"30",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 5","","Crest",3,1.5,3,24,21,"",100,"Flinders 5 Crest 3 2018",100,"yes",21,0.748299319727891,1.60839492005453,0.16862637595924
"31",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 6","","Slope",1,7,2,9,1,"",100,"Flinders 6 Slope 1 2018",100,"yes",1,0,0,0
"32",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 6","","Slope",2,8,3,9,2,"",100,"Flinders 6 Slope 2 2018",100,"yes",2,0,0,0
"33",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 6","","Slope",3,7,3.5,14,3,"",100,"Flinders 6 Slope 3 2018",100,"yes",3,0.444444444444444,0.636514168294813,0.151873752587708
"34",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 6","","Crest",1,1,3.5,22,7,"",100,"Flinders 6 Crest 1 2018",100,"yes",7,0.775510204081633,1.5498260458782,0.153549537181609
"35",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 6","","Crest",2,1.5,3,21,5,"",100,"Flinders 6 Crest 2 2018",100,"yes",5,0.64,1.05492016798614,0.172611513123702
"36",2018,"13/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 6","","Crest",3,1,3,22,6,"",100,"Flinders 6 Crest 3 2018",100,"yes",6,0.666666666666667,1.09861228866811,0.19555171377131
"37",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 1","","Slope",1,8,4,42,18,"",100,"Herald 1 Slope 1 2018",100,"yes",18,0.808641975308642,1.82717484394452,0.168161413367012
"38",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 1","","Slope",2,8,4.5,28,14,"",100,"Herald 1 Slope 2 2018",100,"yes",14,0.704081632653061,1.30130555043691,0.15426356595219
"39",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 1","","Slope",3,9,4.5,20,16,"",100,"Herald 1 Slope 3 2018",100,"yes",16,0.6171875,1.1573732982229,0.16176854940986
"40",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 1","","Crest",1,1,3,25,18,"",100,"Herald 1 Crest 1 2018",100,"yes",18,0.104938271604938,0.214559155176405,0
"41",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 1","","Crest",2,2,5,11,22,"",100,"Herald 1 Crest 2 2018",100,"yes",22,0.450413223140496,0.948587531627576,0.0897900251668357
"42",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 1","","Crest",3,2.5,3.5,47,8,"",100,"Herald 1 Crest 3 2018",100,"yes",8,0.40625,0.735621939758795,0.105928762975302
"43",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 2","","Slope",1,7,4,42,9,"",100,"Herald 2 Slope 1 2018",100,"yes",9,0.493827160493827,0.686961576597323,0.0535678355268307
"44",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 2","","Slope",2,7.5,4,18,17,"",100,"Herald 2 Slope 2 2018",100,"yes",17,0.629757785467128,1.14991713779093,0.144524933947402
"45",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 2","","Slope",3,6,3,20,15,"",100,"Herald 2 Slope 3 2018",100,"yes",15,0.72,1.40194545937873,0.12648921105671
"46",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 2","","Crest",1,2,4,9,9,"",100,"Herald 2 Crest 1 2018",100,"yes",9,0.518518518518519,1.00271826451752,0.118496322023014
"47",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 2","","Crest",2,1,4,20,16,"",100,"Herald 2 Crest 2 2018",100,"yes",16,0.7421875,1.46147212930402,0.156849327055001
"48",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 2","","Crest",3,2,4,21,17,"",100,"Herald 2 Crest 3 2018",100,"yes",17,0.643598615916955,1.26224316749001,0.150191776875281
"49",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 3","","Slope",1,9,4,57,8,"",100,"Herald 3 Slope 1 2018",100,"yes",8,0.78125,1.55958115625988,0.134027506758528
"50",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 3","","Slope",2,9,3,41,8,"",100,"Herald 3 Slope 2 2018",100,"yes",8,0.71875,1.32088834314932,0.163215454718463
"51",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 3","","Slope",3,9,3,51,12,"",100,"Herald 3 Slope 3 2018",100,"yes",12,0.736111111111111,1.5396544474401,0.107161017634477
"52",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 3","","Crest",1,1,3,60,4,"",100,"Herald 3 Crest 1 2018",100,"yes",4,0.5,0.693147180559945,0.204775687242925
"53",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 3","","Crest",2,1,2.5,20,15,"",100,"Herald 3 Crest 2 2018",100,"yes",15,0.48,0.803314976140876,0.18746704721595
"54",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 3","","Crest",3,1,3,20,11,"",100,"Herald 3 Crest 3 2018",100,"yes",11,0.314049586776859,0.600166073159646,0.0868736513391864
"55",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 4","","Slope",1,6,4,19,7,"",100,"Herald 4 Slope 1 2018",100,"yes",7,0.653061224489796,1.07899220787758,0.135164224321111
"56",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 4","","Slope",2,7,5,41,13,"",100,"Herald 4 Slope 2 2018",100,"yes",13,0.63905325443787,1.05790542470367,0.15089886353261
"57",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 4","","Slope",3,6,4.5,35,7,"",100,"Herald 4 Slope 3 2018",100,"yes",7,0.653061224489796,1.07899220787758,0.182961740321623
"58",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 4","","Crest",1,1,4,45,6,"",100,"Herald 4 Crest 1 2018",100,"yes",6,0.611111111111111,1.01140426470735,0.175514649611435
"59",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 4","","Crest",2,1,3,62,4,"",100,"Herald 4 Crest 2 2018",100,"yes",4,0,0,0
"60",2018,"14/04/18","Coral Sea","Central Coral Sea","Mike","Herald","Herald 4","","Crest",3,1,4,62,3,"",100,"Herald 4 Crest 3 2018",100,"yes",3,0,0,0.0391617471077344
"61",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 1","","Slope",1,9,4,18,29,"",100,"Diamond 1 Slope 1 2018",100,"yes",29,0.744351961950059,1.59525393697838,0.150081541867501
"62",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 1","","Slope",2,9,3,22,22,"",100,"Diamond 1 Slope 2 2018",100,"yes",22,0.785123966942149,1.64123021348734,0.140427680695991
"63",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 1","","Slope",3,9,4,27,13,"",100,"Diamond 1 Slope 3 2018",100,"yes",13,0.698224852071006,1.37781950803903,0.150615397540595
"64",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 1","","Crest",1,3,4,15,15,"",100,"Diamond 1 Crest 1 2018",100,"yes",15,0.48,0.803314976140876,0.10697087740616
"65",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 1","","Crest",2,1,4,11,17,"",100,"Diamond 1 Crest 2 2018",100,"yes",17,0.629757785467128,1.14991713779093,0.119950292647469
"66",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 1","","Crest",3,1,4,6,11,"",100,"Diamond 1 Crest 3 2018",100,"yes",11,0.56198347107438,1.15958881430863,0.108576530172235
"67",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 2","","Slope",1,8,3,21,23,"",100,"Diamond 2 Slope 1 2018",100,"yes",23,0.650283553875236,1.27458673219148,0.122197732581845
"68",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 2","","Slope",2,9,4,12,25,"",100,"Diamond 2 Slope 2 2018",100,"yes",25,0.7488,1.56963071708129,0.15792673899218
"69",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 2","","Slope",3,8,3,28,26,"",100,"Diamond 2 Slope 3 2018",100,"yes",26,0.766272189349112,1.61630255629707,0.141550833935793
"70",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 2","","Crest",1,1,3.5,35,15,"",100,"Diamond 2 Crest 1 2018",100,"yes",15,0.64,1.19445300632336,0.125688011163111
"71",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 2","","Crest",2,2,3.5,40,9,"",100,"Diamond 2 Crest 2 2018",100,"yes",9,0.691358024691358,1.27302833658963,0.109422413856369
"72",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 2","","Crest",3,3,3,37,8,"",100,"Diamond 2 Crest 3 2018",100,"yes",8,0.65625,1.08219553003877,0.109750777934596
"73",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 3","","Slope",1,6,4,20,17,"",100,"Diamond 3 Slope 1 2018",100,"yes",17,0.809688581314879,1.78902216229094,0.136284274731486
"74",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 3","","Slope",2,8,3,36,20,"",100,"Diamond 3 Slope 2 2018",100,"yes",20,0.7,1.37051517428796,0.0882484661919811
"75",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 3","","Slope",3,8,3.5,17,16,"",100,"Diamond 3 Slope 3 2018",100,"yes",16,0.7421875,1.46147212930402,0.0985017789502835
"76",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 3","","Crest",1,0.5,4,20,8,"",100,"Diamond 3 Crest 1 2018",100,"yes",8,0.65625,1.2130075659799,0.130528035142286
"77",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 3","","Crest",2,0.5,3.5,16,12,"",100,"Diamond 3 Crest 2 2018",100,"yes",12,0.736111111111111,1.46773392932715,0.178529340149794
"78",2018,"16/04/18","Coral Sea","Central Coral Sea","Mike","Diamond","Diamond 3","","Crest",3,0.5,4,30,8,"",100,"Diamond 3 Crest 3 2018",100,"yes",8,0.6875,1.25548232517875,0.169091820814657
"79",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 1","Georgina Cay","Slope",1,7,3,5,8,"",100,"Lihou 1 Slope 1 2018",100,"yes",8,0.53125,0.900256051268537,0.127999443379456
"80",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 1","Georgina Cay","Slope",2,7,3,16,11,"",100,"Lihou 1 Slope 2 2018",100,"yes",11,0.628099173553719,1.03619878481928,0.147919655872927
"81",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 1","Georgina Cay","Slope",3,8,3,20,7,"",100,"Lihou 1 Slope 3 2018",100,"yes",7,0.73469387755102,1.47507631105469,0.161209228607455
"82",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 1","Georgina Cay","Crest",1,2,3,5,3,"",100,"Lihou 1 Crest 1 2018",100,"yes",3,0.666666666666667,1.09861228866811,0.106090009765337
"83",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 1","Georgina Cay","Crest",2,1.5,4,8,4,"",100,"Lihou 1 Crest 2 2018",100,"yes",4,0.5,0.693147180559945,0.124231618831291
"84",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 1","Georgina Cay","Crest",3,1.5,4,7,9,"",100,"Lihou 1 Crest 3 2018",100,"yes",9,0.617283950617284,1.14905969697062,0.138799489098092
"85",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 2","Georgina Cay","Slope",1,7,4,15,5,"",100,"Lihou 2 Slope 1 2018",100,"yes",5,0.32,0.500402423538188,0.0320298623796283
"86",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 2","Georgina Cay","Slope",2,8,4,26,4,"",100,"Lihou 2 Slope 2 2018",100,"yes",4,0.75,1.38629436111989,0.173202711368237
"87",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 2","Georgina Cay","Slope",3,8,4,17,0,"",100,"Lihou 2 Slope 3 2018",100,"yes",0,0,0,NA
"88",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 2","Georgina Cay","Crest",1,3,4,14,3,"",100,"Lihou 2 Crest 1 2018",100,"yes",3,0.666666666666667,1.09861228866811,0.11253084453946
"89",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 2","Georgina Cay","Crest",2,3,4,13,6,"",100,"Lihou 2 Crest 2 2018",100,"yes",6,0.722222222222222,1.32966134885476,0.125780446194045
"90",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 2","Georgina Cay","Crest",3,3,4,11,4,"",100,"Lihou 2 Crest 3 2018",100,"yes",4,0.625,1.03972077083992,0.114334780476698
"91",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 3","Anne Cay","Slope",1,7,4,17,10,"",100,"Lihou 3 Slope 1 2018",100,"yes",10,0.76,1.6094379124341,0.131633252300211
"92",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 3","Anne Cay","Slope",2,7,3,11,12,"",100,"Lihou 3 Slope 2 2018",100,"yes",12,0.75,1.58325845942048,0.146724973325443
"93",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 3","Anne Cay","Slope",3,6,3,22,22,"",100,"Lihou 3 Slope 3 2018",100,"yes",22,0.768595041322314,1.50503674872741,0.148881646013437
"94",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 3","Anne Cay","Crest",1,1,3,44,6,"",100,"Lihou 3 Crest 1 2018",100,"yes",6,0.777777777777778,1.56071040904141,0.166448554153395
"95",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 3","Anne Cay","Crest",2,1.5,3.5,22,14,"",100,"Lihou 3 Crest 2 2018",100,"yes",14,0.714285714285714,1.39043779493948,0.185062675408407
"96",2018,"17/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 3","Anne Cay","Crest",3,2,3,15,14,"",100,"Lihou 3 Crest 3 2018",100,"yes",14,0.806122448979592,1.710493230055,0.187031310773036
"97",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 4","Lorna Cay","Slope",1,8,3,12,11,"",100,"Lihou 4 Slope 1 2018",100,"yes",11,0.694214876033058,1.2636544318821,0.174453480570346
"98",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 4","Lorna Cay","Slope",2,8,4,17,25,"",100,"Lihou 4 Slope 2 2018",100,"yes",25,0.7744,1.65495911737581,0.135472942794253
"99",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 4","Lorna Cay","Slope",3,8,4,14,22,"",100,"Lihou 4 Slope 3 2018",100,"yes",22,0.785123966942149,1.64123021348734,0.171901493123144
"100",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 4","Lorna Cay","Crest",1,2,3.5,15,4,"",100,"Lihou 4 Crest 1 2018",100,"yes",4,0.625,1.03972077083992,0.172418433560667
"101",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 4","Lorna Cay","Crest",2,3,3,12,10,"",100,"Lihou 4 Crest 2 2018",100,"yes",10,0.56,0.950270539233235,0.165726328324746
"102",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 4","Lorna Cay","Crest",3,2.5,4,14,7,"",100,"Lihou 4 Crest 3 2018",100,"yes",7,0.653061224489796,1.07899220787758,0.0758246570652486
"103",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 5","Lorna Cay","Slope",1,8.5,4,17,17,"",100,"Lihou 5 Slope 1 2018",100,"yes",17,0.71280276816609,1.3180238017106,0.137294142451635
"104",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 5","Lorna Cay","Slope",2,9,4,22,24,"",100,"Lihou 5 Slope 2 2018",100,"yes",24,0.798611111111111,1.75942948243721,0.130576812047332
"105",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 5","Lorna Cay","Slope",3,9,4,29,22,"",100,"Lihou 5 Slope 3 2018",100,"yes",22,0.760330578512397,1.5768984681302,0.167479309723337
"106",2018,"18/04/18","Coral Sea","Central Coral Sea","Mike","Lihou","Lihou 5","Lorna Cay","Crest",1,2,3,19,8,"",100,"Lihou 5 Crest 1 2018",100,"yes",8,0.6875,1.25548232517875,0.126442123985055
