"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Acropora russelli","Acropora russelli","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0,4.98838968514894,-2.092327344863,0.447115507052104,0.10707596070387,-0.00857326226854907,-0.169177613813085,-0.0669090700622252,-0.0219296127343506,0.0329589585350971,0.169177613813085,-0.0669090700622252,-0.0219296127343506,0.0329589585350971,4,4,4,"Acropora"
"Acropora samoensis","Acropora samoensis","Acropora","digitate","pacific",4,1,2,3,3,4,3,1.8,1,"spawner",100,NA,30.5,100,"Acropora...other","digitate",2.2,3.41772668361337,0.587786664902119,4.60517018598809,-0.934009075919372,-0.79448083911629,-0.00457464466553568,-0.0792334025080272,-0.0898202149550641,0.0724909746851432,0.0119332335387681,0.0358446690276807,0.0898202149550641,0.0724909746851432,0.0119332335387681,0.0358446690276807,2,7,7,"Acropora"
"Acropora sarmentosa","Acropora sarmentosa","Acropora","corymbose","pacific",4,2,1,2,3,5,3,2,1,"spawner",30,NA,31.6,30,"Acropora...other","corymbose",4.05,3.45315712059287,0.693147180559945,3.40119738166216,-1.02440888168724,-0.739313004736258,1.64129769445561,0.537105152557088,-0.131629264366659,0.0819984453950623,-0.0921905945503378,-0.0138364102886387,0.131629264366659,0.0819984453950623,-0.0921905945503378,-0.0138364102886387,2,7,7,"Acropora"
"Acropora scherzeriana","Acropora scherzeriana","Acropora","branching_open","pacific",5,1,3,2,5,4,5,0.6,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,-0.510825623765991,4.98838968514894,-3.00609086530409,0.502078890122257,0.270591356165532,-0.410655526546342,-0.295784195372737,-0.0662129907204768,0.0193839007289037,-0.00893528998483368,0.295784195372737,-0.0662129907204768,0.0193839007289037,-0.00893528998483368,1,8,8,"Acropora"
"Acropora schmitti","Acropora schmitti","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1.5,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.405465108108164,4.98838968514894,-2.74160536147326,0.678867000153865,0.225952735513851,-0.329410404574217,-0.278731645849407,-0.0690523033308768,0.0167711985774276,-0.00872992498255815,0.278731645849407,-0.0690523033308768,0.0167711985774276,-0.00872992498255815,1,8,8,"Acropora"
"Acropora secale","Acropora secale","Acropora","branching_closed","pacific",5,1,2,2,4,3,4,1.2,1,"spawner",100,NA,58.7,100,"Acropora...other","branching_closed",2.025,4.07243972683405,0.182321556793955,4.60517018598809,-1.90007399178331,0.444842680298768,0.501221363642725,-0.0933466706100778,-0.159703790268568,-0.0661073528657892,-0.0211830973642613,0.0214735084376699,0.159703790268568,-0.0661073528657892,-0.0211830973642613,0.0214735084376699,4,4,4,"Acropora"
"Acropora sekiseiensis","Acropora sekiseiensis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1.1,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.0953101798043249,4.98838968514894,-2.06481625035024,0.465504546653012,0.102432767432858,-0.000122355897872155,-0.167794354970791,-0.067250717416369,-0.0219122468348199,0.0328560213562325,0.167794354970791,-0.067250717416369,-0.0219122468348199,0.0328560213562325,4,4,4,"Acropora"
"Acropora selago","Acropora selago","Acropora","corymbose","pacific",4,1,2,2,3,5,3,0.9,1,"spawner",75,NA,31.6,75,"Acropora...other","corymbose",4.05,3.45315712059287,-0.105360515657826,4.31748811353631,-1.58874844277526,-0.803832587499726,0.716545991356463,0.707653023242761,-0.153517523401441,0.0797734324813911,-0.085513417178395,0.0235411600948021,0.153517523401441,0.0797734324813911,-0.085513417178395,0.0235411600948021,2,7,7,"Acropora"
"Acropora seriata","Acropora seriata","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.6,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.510825623765991,4.63666885304746,-2.1837012041932,-1.37739006646424,0.66706153599527,0.934711326582137,-0.242350481815294,0.136579769862105,-0.0456544993178635,-0.115520467653754,0.242350481815294,0.136579769862105,-0.0456544993178635,-0.115520467653754,3,5,5,"Acropora"
"Acropora simplex","Acropora simplex","Acropora","tables_or_plates","pacific",5,1,2,2,2,5,5,0.8,1,"spawner",100,NA,30.4,100,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.22314355131421,4.60517018598809,-2.08918575771318,-1.32496318472794,0.686173409916621,0.951922652325052,-0.237282870422964,0.134201461658821,-0.0446577915161426,-0.115654244621074,0.237282870422964,0.134201461658821,-0.0446577915161426,-0.115654244621074,3,5,5,"Acropora"
"Acropora solitaryensis","Acropora solitaryensis","Acropora","tables_or_plates","pacific",5,1,4,2,2,5,5,1.1,1,"spawner",204,16.7,16.7,204,"Acropora...Tabular","tables_or_plates",1.242,2.81540871942271,0.0953101798043249,5.31811999384422,-1.95374906236344,-1.15940456746804,-0.16426820054338,1.28806727731006,-0.224244259599755,0.128982602262851,-0.0541374315010986,-0.105193704276377,0.224244259599755,0.128982602262851,-0.0541374315010986,-0.105193704276377,3,5,5,"Acropora"
"Acropora speciosa","Acropora speciosa","Acropora","corymbose","pacific",4,1,1,2,3,5,3,0.8,1,"spawner",50,40.3,40.3,50,"Acropora...other","corymbose",4.05,3.69635146895264,-0.22314355131421,3.91202300542815,-1.59813934891892,-0.880164762975225,1.18326641749688,0.541645302003831,-0.156928415468109,0.0844677474167551,-0.0889737198877422,0.0113768552731522,0.156928415468109,0.0844677474167551,-0.0889737198877422,0.0113768552731522,2,7,7,"Acropora"
"Acropora spicifera","Acropora spicifera","Acropora","tables_or_plates","pacific",5,1,4,2,2,5,5,1.1,1,"spawner",NA,111,111,206.5,"Acropora...Tabular","tables_or_plates",1.242,4.70953020131233,0.0953101798043249,5.33030041240109,-2.91714634110536,-1.26712544624651,0.0920886483476959,0.911466109352093,-0.283271431576291,0.14070690475011,-0.0602446216719601,-0.0942654982691583,0.283271431576291,0.14070690475011,-0.0602446216719601,-0.0942654982691583,3,5,5,"Acropora"
"Acropora stoddarti","Acropora stoddarti","Acropora","tables_or_plates","pacific",5,1,4,2,2,5,5,1.3,1,"spawner",200,NA,30.4,200,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,0.262364264467491,5.29831736654804,-2.20159409965968,-1.16355273074437,-0.0664537524840197,1.17754520165302,-0.243832652018748,0.131711682368965,-0.0492891331538517,-0.0970063600828073,0.243832652018748,0.131711682368965,-0.0492891331538517,-0.0970063600828073,3,5,5,"Acropora"
"Acropora striata","Acropora striata","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1.1,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.0953101798043249,4.98838968514894,-2.06481625035024,0.465504546653012,0.102432767432858,-0.000122355897872155,-0.167794354970791,-0.067250717416369,-0.0219122468348199,0.0328560213562325,0.167794354970791,-0.067250717416369,-0.0219122468348199,0.0328560213562325,4,4,4,"Acropora"
"Acropora subglabra","Acropora subglabra","Acropora","hispidose","pacific",5,1,3,2,4,4,5,0.8,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,-0.22314355131421,4.98838968514894,-2.71487176054158,0.0462892702912012,0.282669083030294,0.00339563490061689,-0.254673940820277,-0.044765640075069,-0.00345378297337626,0.0188304497001268,0.254673940820277,-0.044765640075069,-0.00345378297337626,0.0188304497001268,1,8,8,"Acropora"
"Acropora subulata","Acropora subulata","Acropora","tables_or_plates","pacific",5,1,4,2,2,5,5,1.2,1,"spawner",250,NA,30.4,250,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,0.182321556793955,5.52146091786225,-2.30600095489167,-1.15718959982957,-0.297231822480288,1.22922366798526,-0.249550987560446,0.133980041997995,-0.0508694323637452,-0.0935847934253201,0.249550987560446,0.133980041997995,-0.0508694323637452,-0.0935847934253201,3,5,5,"Acropora"
"Acropora tenella","Acropora tenella","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.8,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.22314355131421,4.63666885304746,-2.1006623441145,-1.32188500883401,0.653046627349192,0.960219349584544,-0.2380733325556,0.134337644944133,-0.0449293045822019,-0.1144755319888,0.2380733325556,0.134337644944133,-0.0449293045822019,-0.1144755319888,3,5,5,"Acropora"
"Acropora tenuis","Acropora tenuis","Acropora","corymbose","pacific",4,1,3,2,3,5,3,1.2,1,"spawner",NA,NA,31.6,105.3,"Acropora...other","corymbose",4.05,3.45315712059287,0.182321556793955,4.65681341913993,-1.62934326473701,-0.715167302043218,0.34566659707452,0.822538775397051,-0.155201243523889,0.076610899448043,-0.0871022881194001,0.0367384769043526,0.155201243523889,0.076610899448043,-0.0871022881194001,0.0367384769043526,2,7,7,"Acropora"
"Acropora teres","Acropora teres","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0,4.98838968514894,-2.85864206136922,0.600637015223658,0.24570563982547,-0.365361943772164,-0.286646463909355,-0.0660614261136365,0.0178640368790891,-0.0089856984707683,0.286646463909355,-0.0660614261136365,0.0178640368790891,-0.0089856984707683,1,8,8,"Acropora"
"Acropora tizardi","Acropora tizardi","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.6,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.510825623765991,4.98838968514894,-2.23977614879786,0.348557381950703,0.131961677043932,-0.0538668450427272,-0.175727172191552,-0.0674646102378277,-0.0227050452045328,0.0356628660620125,0.175727172191552,-0.0674646102378277,-0.0227050452045328,0.0356628660620125,4,4,4,"Acropora"
"Acropora torihalimeda","Acropora torihalimeda","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.8,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.22314355131421,4.98838968514894,-2.15673728871916,0.40406243958094,0.117946768397854,-0.0283588220403201,-0.172163850400055,-0.066530173649504,-0.0223127954412732,0.0338521464128844,0.172163850400055,-0.066530173649504,-0.0223127954412732,0.0338521464128844,4,4,4,"Acropora"
"Acropora torresiana","Acropora torresiana","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1.2,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.182321556793955,4.98838968514894,-2.0397005888232,0.482292424511147,0.0981938640862358,0.00759271715762591,-0.166448117632647,-0.0677259385280954,-0.021776649488193,0.0328010075348497,0.166448117632647,-0.0677259385280954,-0.021776649488193,0.0328010075348497,4,4,4,"Acropora"
"Acropora tortuosa","Acropora tortuosa","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1.3,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.262364264467491,4.98838968514894,-2.01659641988359,0.497735775097564,0.0942944510075241,0.0146898963843702,-0.165145376070153,-0.068272327634066,-0.0218650406108211,0.0328652711330831,0.165145376070153,-0.068272327634066,-0.0218650406108211,0.0328652711330831,4,4,4,"Acropora"
"Acropora turaki","Acropora turaki","Acropora","hispidose","pacific",5,1,4,2,4,4,5,0.8,1,"spawner",200,NA,58.7,200,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,-0.22314355131421,5.29831736654804,-2.82779437428377,0.076576644545768,-0.0432782624235272,0.0850300780361912,-0.260758894441694,-0.0460093586935473,-0.00447933984331074,0.0273276484611126,0.260758894441694,-0.0460093586935473,-0.00447933984331074,0.0273276484611126,1,8,8,"Acropora"
"Acropora tutuilensis","Acropora tutuilensis","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1.2,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.182321556793955,4.98838968514894,-2.80601530532942,0.635813932682701,0.236823543207836,-0.349195964345989,-0.283114346524141,-0.0671173740486199,0.0172453534057635,-0.00887611332396103,0.283114346524141,-0.0671173740486199,0.0172453534057635,-0.00887611332396103,1,8,8,"Acropora"
"Acropora valenciennesi","Acropora valenciennesi","Acropora","branching_open","pacific",5,1,4,2,5,4,5,1.5,1,"spawner",333.3,179.3,179.3,333.3,"Acropora...Staghorn","branching_open",2.025,5.18906038061109,0.405465108108164,5.8090429853137,-3.60593638603817,0.694859303723632,-0.478439833814672,-0.337156580310573,-0.322595874512319,-0.0829300278629696,0.0146823053911429,0.0128617244182753,0.322595874512319,-0.0829300278629696,0.0146823053911429,0.0128617244182753,1,8,8,"Acropora"
"Acropora valida","Acropora valida","Acropora","corymbose","pacific",4,1,1,2,3,5,3,0.9,1,"spawner",50,34.3,34.3,50,"Acropora...other","corymbose",4.05,3.53514535417189,-0.105360515657826,3.91202300542815,-1.48252577932871,-0.848170551068418,1.15461999534934,0.584413887968648,-0.150896805366615,0.0836913134114596,-0.0866792313463986,0.00782030195726836,0.150896805366615,0.0836913134114596,-0.0866792313463986,0.00782030195726836,2,7,7,"Acropora"
"Acropora variabilis","Acropora variabilis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.9,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.105360515657826,4.98838968514894,-2.1227394489019,0.426787366880911,0.112208772732314,-0.0179153058447812,-0.170621530581667,-0.0665865427088443,-0.0221393034209855,0.0332723935349609,0.170621530581667,-0.0665865427088443,-0.0221393034209855,0.0332723935349609,4,4,4,"Acropora"
"Acropora vaughani","Acropora vaughani","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1.1,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.0953101798043249,4.98838968514894,-2.06481625035024,0.465504546653012,0.102432767432858,-0.000122355897872155,-0.167794354970791,-0.067250717416369,-0.0219122468348199,0.0328560213562325,0.167794354970791,-0.067250717416369,-0.0219122468348199,0.0328560213562325,4,4,4,"Acropora"
"Acropora vermiculata","Acropora vermiculata","Acropora","corymbose","pacific",4,1,3,2,3,5,3,0.8,1,"spawner",NA,NA,31.6,105.3,"Acropora...other","corymbose",4.05,3.45315712059287,-0.22314355131421,4.65681341913993,-1.74637996463297,-0.793397286973426,0.365419501386138,0.786587236199105,-0.160751484395188,0.080061113350127,-0.0883640468893468,0.0388880090377054,0.160751484395188,0.080061113350127,-0.0883640468893468,0.0388880090377054,2,7,7,"Acropora"
"Acropora verweyi","Acropora verweyi","Acropora","corymbose","pacific",4,1,3,2,3,5,3,1.1,1,"spawner",NA,NA,31.6,105.3,"Acropora...other","corymbose",4.05,3.45315712059287,0.0953101798043249,4.65681341913993,-1.65445892626405,-0.731955179901353,0.349905500421142,0.814823702341553,-0.156548166474924,0.0773702917841757,-0.0872094769647357,0.0371079363285668,0.156548166474924,0.0773702917841757,-0.0872094769647357,0.0371079363285668,2,7,7,"Acropora"
"Acropora walindii","Acropora walindii","Acropora","branching_open","pacific",5,1,2,2,5,4,5,0.5,1,"spawner",100,NA,58.7,100,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,-0.693147180559945,4.60517018598809,-2.919091024304,0.429452228450834,0.682500952339656,-0.52776089374022,-0.290128814236012,-0.0657930158729347,0.0198383041387674,-0.0217764371573612,0.290128814236012,-0.0657930158729347,0.0198383041387674,-0.0217764371573612,1,8,8,"Acropora"
"Acropora willisae","Acropora willisae","Acropora","corymbose","pacific",4,1,2,2,3,5,3,1,1,"spawner",70,NA,31.6,70,"Acropora...other","corymbose",4.05,3.45315712059287,0,4.24849524204936,-1.53319868293641,-0.790246707039538,0.783972181527793,0.698822457587265,-0.151172964187055,0.0791923754596018,-0.0846900318482345,0.020125472256417,0.151172964187055,0.0791923754596018,-0.0846900318482345,0.020125472256417,2,7,7,"Acropora"
"Acropora yongei","Acropora yongei","Acropora","branching_closed","pacific",5,1,4,2,4,3,4,1.2,1,"spawner",200,59.3,59.3,200,"Acropora...other","branching_closed",2.025,4.08260930600368,0.182321556793955,5.29831736654804,-2.15777187590537,0.511995052189672,-0.226308318713072,0.0871879550395437,-0.17145667053001,-0.0696797194700681,-0.023273411957645,0.0417218750744643,0.17145667053001,-0.0696797194700681,-0.023273411957645,0.0417218750744643,4,4,4,"Acropora"
"Alveopora allingi","Alveopora allingi","Alveopora","columnar","pacific",4,2,2,3,5,1,5,3.7,1,NA,NA,NA,25.3,93.5,"Alveopora","columnar",0.9,3.23080439573347,1.30833281965018,4.53796143629464,-0.822365914725252,1.40100317667804,0.072716006502523,-1.41133513179787,-0.0673815124460657,-0.187144894382683,0.0987477998596199,-0.1108234694726,0.0673815124460657,-0.187144894382683,0.0987477998596199,-0.1108234694726,6,9,9,"other"
"Alveopora catalai","Alveopora catalai","Alveopora","branching_closed","pacific",5,2,5,2,4,3,4,4.1,1,NA,833.3,NA,58.7,833.3,"Alveopora","branching_closed",2.025,4.07243972683405,1.41098697371026,6.72539372138816,-2.31792876687144,0.889096748199459,-1.78844959167936,0.574059307251598,-0.171173252142176,-0.0928150763008876,-0.0324398193375942,0.0748617948463631,0.171173252142176,-0.0928150763008876,-0.0324398193375942,0.0748617948463631,4,4,4,"other"
"Alveopora daedalea","Alveopora daedalea","Alveopora","columnar","pacific",4,2,2,3,5,1,5,2.2,1,"brooder",NA,NA,25.3,93.5,"Alveopora","columnar",0.9,3.23080439573347,0.78845736036427,4.53796143629464,-0.972426935747782,1.30069898642286,0.098042600569142,-1.45743114000872,-0.0764750401136996,-0.182132224497932,0.096394219308569,-0.1106566463431,0.0764750401136996,-0.182132224497932,0.096394219308569,-0.1106566463431,6,9,9,"other"
"Alveopora excelsa","Alveopora excelsa","Alveopora","submassive","pacific",3,2,4,3,3,1,1,2,1,NA,200,NA,12.8,200,"Alveopora","massive",0.5,2.54944517092557,0.693147180559945,5.29831736654804,0.663151011172176,0.408104500992722,-1.23331250435218,0.0828430067835807,0.124286201019636,-0.0248835863061002,-0.0187830815222091,0.0260627951998185,-0.124286201019636,-0.0248835863061002,-0.0187830815222091,0.0260627951998185,7,2,2,"other"
"Alveopora fenestrata","Alveopora fenestrata","Alveopora","massive","pacific",3,2,2,3,4,1,1,3.4,1,"spawner",NA,NA,12.8,65,"Alveopora","massive",0.5,2.54944517092557,1.22377543162212,4.17438726989564,1.01764116938659,0.911943050071927,-0.103231335866192,-0.554692046008048,0.128382968128475,-0.0887027860285872,0.0285682901283296,0.0210164001580486,-0.128382968128475,-0.0887027860285872,0.0285682901283296,0.0210164001580486,8,2,2,"other"
"Alveopora gigas","Alveopora gigas","Alveopora","columnar","pacific",4,3,2,4,5,1,5,6.6,1,"spawner",NA,NA,25.3,93.5,"Alveopora","columnar",0.9,3.23080439573347,1.88706964903238,4.53796143629464,-0.377204344203259,1.00908212333027,-0.293446968012556,-2.15080706233266,-0.0510349361586792,-0.16102813724551,0.20817358605566,-0.0945811369700694,0.0510349361586792,-0.16102813724551,0.20817358605566,-0.0945811369700694,6,9,9,"other"
"Alveopora marionensis","Alveopora marionensis","Alveopora","submassive","pacific",3,2,2,3,3,1,1,3.4,1,NA,NA,NA,12.8,65,"Alveopora","massive",0.5,2.54944517092557,1.22377543162212,4.17438726989564,1.2258214140704,0.400648372610635,-0.0771387003553518,-0.166148907563497,0.144812161876681,-0.0209855950415651,-0.0108393389189559,-0.00258820331997953,-0.144812161876681,-0.0209855950415651,-0.0108393389189559,-0.00258820331997953,7,2,2,"other"
"Alveopora minuta","Alveopora minuta","Alveopora","submassive","pacific",3,1,1,3,3,1,1,1.3,1,NA,10,NA,12.8,10,"Alveopora","massive",0.5,2.54944517092557,0.262364264467491,2.30258509299405,1.63030590559762,0.0322347711087293,1.93825066202539,-0.744424365935946,0.160461290173133,-0.0238459792637765,-0.0171839518318522,-0.0244381758675995,-0.160461290173133,-0.0238459792637765,-0.0171839518318522,-0.0244381758675995,7,2,2,"other"
"Alveopora ocellata","Alveopora ocellata","Alveopora","encrusting","pacific",2,1,1,4,1,2,1,1.5,1,NA,NA,NA,6.3,44.5,"Alveopora","encrusting",1,1.84054963339749,0.405465108108164,3.7954891891722,1.91760852587997,-1.62872090824525,0.0164843394242576,-0.069621955494997,0.197778917918999,0.123080237363092,0.0357774148416185,-0.028826729930214,-0.197778917918999,0.123080237363092,0.0357774148416185,-0.028826729930214,5,3,3,"other"
"Alveopora spongiosa","Alveopora spongiosa","Alveopora","columnar","pacific",4,1,3,3,5,1,5,1.5,1,NA,150,NA,25.3,150,"Alveopora","columnar",0.9,3.23080439573347,0.405465108108164,5.01063529409626,-1.25519631659253,1.2729964715859,-0.380404907830188,-1.36688855021389,-0.0918627468324669,-0.184875748078129,0.0960121772631102,-0.0977047890220905,0.0918627468324669,-0.184875748078129,0.0960121772631102,-0.0977047890220905,6,9,9,"other"
"Alveopora tizardi","Alveopora tizardi","Alveopora","encrusting","pacific",2,1,1,4,1,2,1,1.5,1,"spawner",NA,NA,6.3,44.5,"Alveopora","encrusting",1,1.84054963339749,0.405465108108164,3.7954891891722,1.91760852587997,-1.62872090824525,0.0164843394242576,-0.069621955494997,0.197778917918999,0.123080237363092,0.0357774148416185,-0.028826729930214,-0.197778917918999,0.123080237363092,0.0357774148416185,-0.028826729930214,5,3,3,"other"
"Alveopora verrilliana","Alveopora verrilliana","Alveopora","submassive","pacific",3,2,2,3,3,1,1,2.1,1,"spawner",NA,NA,12.8,65,"Alveopora","massive",0.5,2.54944517092557,0.741937344729377,4.17438726989564,1.08673980520587,0.30768307048564,-0.0536651598860039,-0.208872240648341,0.136072672268176,-0.0188797317906671,-0.0111831085764233,-0.00413671578580389,-0.136072672268176,-0.0188797317906671,-0.0111831085764233,-0.00413671578580389,7,2,2,"other"
"Anacropora forbesi","Anacropora forbesi","Anacropora","branching_closed","pacific",5,1,3,2,4,3,4,0.5,1,"spawner",NA,NA,58.7,146.7,NA,"branching_closed",2.025,4.07243972683405,-0.693147180559945,4.98838968514894,-2.29240290483766,0.31338046449166,0.140843773661567,-0.0700328244689023,-0.177916245336702,-0.0684955827707409,-0.0232688826306796,0.0369645880711072,0.177916245336702,-0.0684955827707409,-0.0232688826306796,0.0369645880711072,4,4,4,"other"
"Anacropora matthai","Anacropora matthai","Anacropora","branching_closed","pacific",5,1,3,2,4,3,4,0.6,1,"spawner",NA,NA,58.7,146.7,NA,"branching_closed",2.025,4.07243972683405,-0.510825623765991,4.98838968514894,-2.23977614879786,0.348557381950703,0.131961677043932,-0.0538668450427272,-0.175727172191552,-0.0674646102378277,-0.0227050452045328,0.0356628660620126,0.175727172191552,-0.0674646102378277,-0.0227050452045328,0.0356628660620126,4,4,4,"other"
"Anacropora pillai","Anacropora pillai","Anacropora","branching_closed","pacific",5,1,3,2,4,3,4,0.6,1,"spawner",NA,NA,58.7,146.7,NA,"branching_closed",2.025,4.07243972683405,-0.510825623765991,4.98838968514894,-2.23977614879786,0.348557381950703,0.131961677043932,-0.0538668450427272,-0.175727172191552,-0.0674646102378277,-0.0227050452045328,0.0356628660620125,0.175727172191552,-0.0674646102378277,-0.0227050452045328,0.0356628660620125,4,4,4,"other"
"Anacropora puertogalerae","Anacropora puertogalerae","Anacropora","branching_closed","pacific",5,1,3,2,4,3,4,0.8,1,"spawner",NA,NA,58.7,146.7,NA,"branching_closed",2.025,4.07243972683405,-0.22314355131421,4.98838968514894,-2.15673728871916,0.40406243958094,0.117946768397854,-0.0283588220403201,-0.172163850400055,-0.066530173649504,-0.0223127954412732,0.0338521464128844,0.172163850400055,-0.066530173649504,-0.0223127954412732,0.0338521464128844,4,4,4,"other"
"Anacropora reticulata","Anacropora reticulata","Anacropora","branching_closed","pacific",5,1,3,2,4,3,4,0.9,1,"spawner",NA,NA,58.7,146.7,NA,"branching_closed",2.025,4.07243972683405,-0.105360515657826,4.98838968514894,-2.1227394489019,0.426787366880911,0.112208772732314,-0.0179153058447812,-0.170621530581667,-0.0665865427088443,-0.0221393034209855,0.033272393534961,0.170621530581667,-0.0665865427088443,-0.0221393034209855,0.033272393534961,4,4,4,"other"
"Astrea annuligera","Astrea annuligera","Astrea","encrusting","pacific",1,3,2,3,1,2,1,6.3,1,"spawner",NA,NA,3.2,64.4,"Astrea","encrusting",1,1.16315080980568,1.84054963339749,4.16511363311031,2.26201400853789,-0.773184080963295,-0.200451799380044,1.08160085702333,0.211161543421318,0.0827873147737452,-0.0431840564681378,-0.028254442274622,-0.211161543421318,0.0827873147737452,-0.0431840564681378,-0.028254442274622,5,3,3,"other"
"Astrea curta","Astrea curta","Astrea","massive","pacific",1,3,2,3,4,1,1,9.3,1,"spawner",NA,2.6,2.6,58.1,"Astrea","massive",0.5,0.955511445027436,2.23001440015921,4.06216566385787,2.15595787634252,1.18676945444961,-0.260738014734089,-0.175414649445131,0.18911695434153,-0.109838105826419,0.0208411785224882,0.0275584748759119,-0.18911695434153,-0.109838105826419,0.0208411785224882,0.0275584748759119,8,2,2,"other"
"Astreopora cucullata","Astreopora cucullata","Astreopora","massive","pacific",3,2,2,3,4,1,1,2.3,1,"spawner",NA,NA,12.8,65,"Astreopora","massive",0.5,2.54944517092557,0.832909122935104,4.17438726989564,0.904818384011323,0.836529741190725,-0.0841896362483041,-0.589349147536422,0.121495807095084,-0.0866221780897536,0.0278789472177055,0.019778413649944,-0.121495807095084,-0.0866221780897536,0.0278789472177055,0.019778413649944,8,2,2,"other"
"Astreopora expansa","Astreopora expansa","Astreopora","laminar","pacific",4,2,2,5,2,4,2,2.3,1,"spawner",NA,NA,25.1,93.1,"Astreopora","laminar",2.176,3.22286784613774,0.832909122935104,4.53367418428302,0.32055050214606,-2.25270296546908,-0.741785570822179,-1.12160474186589,-0.0156068292726026,0.209231559034113,0.0786664509383158,0.0405158096941234,0.0156068292726026,0.209231559034113,0.0786664509383158,0.0405158096941234,9,6,6,"other"
"Astreopora gracilis","Astreopora gracilis","Astreopora","massive","pacific",3,1,2,3,4,1,1,1.6,1,"spawner",NA,NA,12.8,65,"Astreopora","massive",0.5,2.54944517092557,0.470003629245736,4.17438726989564,0.800066432471785,0.766511160714411,-0.0665100940444052,-0.621527036140446,0.115031954389257,-0.0854636846536994,0.0267923784690821,0.0188492821731427,-0.115031954389257,-0.0854636846536994,0.0267923784690821,0.0188492821731427,8,2,2,"other"
"Astreopora incrustans","Astreopora incrustans","Astreopora","encrusting","pacific",2,1,2,4,1,2,1,0.9,1,"spawner",100,NA,6.3,100,"Astreopora","encrusting",1,1.84054963339749,-0.105360515657826,4.60517018598809,1.47515124111147,-1.64815376364932,-0.810162051290998,0.0983531087717673,0.176536900156418,0.126339028120408,0.0290315188715865,-0.0118155138341155,-0.176536900156418,0.126339028120408,0.0290315188715865,-0.0118155138341155,5,3,3,"other"
"Astreopora listeri","Astreopora listeri","Astreopora","massive","pacific",3,1,2,3,4,1,1,1.6,1,"spawner",NA,NA,12.8,65,"Astreopora","massive",0.5,2.54944517092557,0.470003629245736,4.17438726989564,0.800066432471785,0.766511160714411,-0.0665100940444052,-0.621527036140446,0.115031954389257,-0.0854636846536994,0.0267923784690821,0.0188492821731427,-0.115031954389257,-0.0854636846536994,0.0267923784690821,0.0188492821731427,8,2,2,"other"
