"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Acropora monticulosa","Acropora monticulosa","Acropora","digitate","pacific",4,1,4,3,3,4,3,1.2,1,"spawner",300,NA,30.5,300,"Acropora...other","digitate",2.2,3.41772668361337,0.182321556793955,5.7037824746562,-1.45132680449166,-0.765350031369481,-1.14021953366428,0.174187733888728,-0.111214154701955,0.0793327596940842,0.00935584473696316,0.0697405201767885,0.111214154701955,0.0793327596940842,0.00935584473696316,0.0697405201767885,2,7,7,"Acropora"
"Acropora multiacuta","Acropora multiacuta","Acropora","branching_closed","pacific",5,2,3,2,4,3,4,2,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.693147180559945,4.98838968514894,-1.89225178488833,0.580850549612548,0.0733081477461736,0.0528862999318041,-0.157979126200765,-0.071656509486235,-0.0222333947028206,0.0331953907994618,0.157979126200765,-0.071656509486235,-0.0222333947028206,0.0331953907994618,4,4,4,"Acropora"
"Acropora muricata","Acropora muricata","Acropora","branching_open","pacific",5,1,5,3,5,4,5,1.2,1,"spawner",625,89.5,89.1,625,"Acropora...Staghorn","branching_open",2.025,4.48975933447676,0.182321556793955,6.4377516497364,-3.26726351311713,0.249873793811112,-1.5661186624765,-0.84190440146167,-0.277452049004952,-0.0536816193947649,0.120745104324403,0.0215351909234643,0.277452049004952,-0.0536816193947649,0.120745104324403,0.0215351909234643,1,8,8,"Acropora"
"Acropora nana","Acropora nana","Acropora","branching_closed","pacific",5,1,1,2,4,3,4,1,1,"spawner",15,NA,58.7,15,"Acropora...other","branching_closed",2.025,4.07243972683405,0,2.70805020110221,-1.26148224707873,0.224271600147732,2.50528253006623,-0.609210943613644,-0.152259466674825,-0.0703589199835572,-0.0250178516741054,-0.0374007149368975,0.152259466674825,-0.0703589199835572,-0.0250178516741054,-0.0374007149368975,4,4,4,"Acropora"
"Acropora nasuta","Acropora nasuta","Acropora","corymbose","pacific",4,1,2,2,3,5,3,1.1,1,"spawner",80,41.9,26.2,80,"Acropora...other","corymbose",4.05,3.26575941076705,0.0953101798043249,4.38202663467388,-1.4594638918928,-0.748033154534588,0.612265151706735,0.78002232544016,-0.145917278254734,0.0774559331175686,-0.0828916211256976,0.0221210124553966,0.145917278254734,0.0774559331175686,-0.0828916211256976,0.0221210124553966,2,7,7,"Acropora"
"Acropora navini","Acropora navini","Acropora","hispidose","pacific",5,1,3,2,4,4,5,1.1,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.0953101798043249,4.98838968514894,-2.62295072217266,0.107731377363274,0.267155082065298,0.0316321010430648,-0.249290489728072,-0.0459541112024255,-0.00391468646995902,0.0181270471896887,0.249290489728072,-0.0459541112024255,-0.00391468646995902,0.0181270471896887,1,8,8,"Acropora"
"Acropora ocellata","Acropora ocellata","Acropora","digitate","pacific",4,1,3,3,3,4,3,1.9,1,"spawner",NA,NA,30.5,103.3,"Acropora...other","digitate",2.2,3.41772668361337,0.641853886172395,4.63763737612559,-0.930232148883079,-0.780876346006009,-0.0413539859488799,-0.0658875976195812,-0.0895406945786509,0.0722396931801462,0.0115884004880177,0.0367356352340995,0.0895406945786509,0.0722396931801462,0.0115884004880177,0.0367356352340995,2,7,7,"Acropora"
"Acropora orbicularis","Acropora orbicularis","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.6,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.510825623765991,4.63666885304746,-2.1837012041932,-1.37739006646424,0.66706153599527,0.934711326582137,-0.242350481815293,0.136579769862105,-0.0456544993178636,-0.115520467653754,0.242350481815293,0.136579769862105,-0.0456544993178636,-0.115520467653754,3,5,5,"Acropora"
"Acropora palmerae","Acropora palmerae","Acropora","encrusting","pacific",2,1,3,4,1,2,1,1.3,1,"spawner",180,NA,6.3,180,"Acropora...other","encrusting",1,1.84054963339749,0.262364264467491,5.19295685089021,1.36713332063368,-1.51976448851375,-1.44624478654091,0.285780354824785,0.175227941393193,0.121569781446269,0.0293615671186913,0.00737281792979763,-0.175227941393193,0.121569781446269,0.0293615671186913,0.00737281792979763,5,3,3,"Acropora"
"Acropora paniculata","Acropora paniculata","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.8,1,"spawner",103,NA,30.4,103,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.22314355131421,4.63472898822964,-2.09995555147002,-1.32207458019296,0.655086760663697,0.959708392372053,-0.238024450370549,0.134328926956405,-0.0449122959437983,-0.114547500257499,0.238024450370549,0.134328926956405,-0.0449122959437983,-0.114547500257499,3,5,5,"Acropora"
