"","Site","dim1","dim2","variable","n","type"
"71","Osprey 3",-0.170515240925304,-0.00528658882649215,"Leptoria",0,"LowFD"
"72","Osprey 3",0.0425014257098473,0.0887031191550727,"Merulina",0,"LowFD"
"73","Osprey 3",-0.127067093111153,-0.110448752671918,"Platygyra",0,"LowFD"
"74","Osprey 3",-0.0976220474435125,-0.103840087396198,"Other.Merulinidae",0,"LowFD"
"75","Osprey 3",-0.197435081881674,-0.0120328476022908,"Other.Lobophyllidae",0,"LowFD"
"76","Osprey 3",-0.191006559312044,-0.122046732964091,"Coelastrea",0,"LowFD"
"77","Osprey 3",-0.172704024646529,-0.103426931540477,"Coeloseris",0,"LowFD"
"78","Osprey 3",-0.167100178348715,-0.0994352737223055,"Halomitra",0,"LowFD"
"79","Osprey 3",-0.288910750106923,0.0125049653252868,"Fungiidae",0,"LowFD"
"80","Osprey 3",-0.214521734582303,0.0628648419368869,"Leptastrea",2,"LowFD"
"81","Osprey 3",-0.155445837745099,-0.108499993195654,"Pleisiastrea",0,"LowFD"
"82","Osprey 3",-0.216778905149941,-0.105325535024696,"Diploastrea",0,"LowFD"
"83","Osprey 3",-0.0654443393924778,0.0198479615350563,"Pavona",0,"LowFD"
"84","Osprey 3",-0.0600891759544262,-0.0719212142509173,"Psammocora",0,"LowFD"
"85","Osprey 3",-0.00292058014456572,0.0975100417830366,"Turbinaria",0,"LowFD"
"86","Osprey 3",-0.180173889787317,-0.109520721193129,"Physogyra",0,"LowFD"
"87","Osprey 3",-0.132842657941001,-0.153276401502432,"Oulophyllia",0,"LowFD"
"88","Osprey 3",-0.0240667153975248,0.176838301127354,"Mycedium",0,"LowFD"
"89","Osprey 3",-0.140359849533919,-0.0922340986024226,"Gardinoseris",0,"LowFD"
"90","Osprey 3",-0.113176808041431,0.175498836497856,"Leptoseris",0,"LowFD"
"91","Osprey 3",0.0481781615794045,-0.193096592599396,"Scapophyllia",0,"LowFD"
"92","Osprey 3",0.0194150178906054,0.0499762641006908,"Pectinia",0,"LowFD"
"93","Osprey 3",-0.199811883259408,0.0882839692151224,"Bernardpora",0,"LowFD"
"94","Osprey 3",-0.226730189710759,0.125257951054428,"Podabacia",0,"LowFD"
"95","Osprey 3",-0.114144587797251,-0.116915343487126,"Paramontastrea",0,"LowFD"
"96","Osprey 3",-0.191967916813352,-0.0306993831342351,"Paragoniastrea",0,"LowFD"
"97","Osprey 3",-0.105316075822891,-0.0998453875118921,"Plerogyra",0,"LowFD"
"98","Osprey 3",0.13065872570089,-0.0786784170899101,"Australogyra",0,"LowFD"
