,species,genus,domain,cat_growthrate,cat_corallitesize,cat_colonydiameter,cat_skeletaldensity,cat_colonyheight,cat_SA_vol,cat_spacesize,dat_growth,dat_skeletal,dat_corallite,dat_colonydiameter,raw_growth,raw_skeldensity,raw_polypsize,raw_colonydiam,raw_growth_form,reproductive_mode,raw_reproductive_mode,species_keith,species_keith_updated,Andaman.Sea,Eastern.Pacific,Fiji.Caroline.Islands,Hawaii.Line.Islands,Indonesia.Philippines,Japan.Vietnam,Northern.PNG...Solomon.Islands,Persian.Gulf,Polynesia,Red.Sea.Gulf.of.Aden,Subtropical.East.Africa,Subtropical.Eastern.Australia,Subtropical.Japan,Subtropical.Western.Australia,Tonga.Samoa,Tropical.Australia,Western.Indian.Ocean,Caribbean,Brazil,East_Atlantic
339,Echinopora tiranensis,Echinopora,pacific,3,2,3,2,3,4,3,15.2,1.4,3.5,149.6,NA,NA,3.5,NA,digitate,spawner,NA,Echinopora tiranensis,Echinopora tiranensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,Enigmopora darveliensis,Enigmopora,NA,5,1,3,2,5,4,5,58.7,1.4,1,146.7,NA,NA,NA,NA,branching_open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,Erythrastrea flabellata,Erythrastrea,pacific,2,4,2,3,4,1,1,6.4,1.6,14,100,NA,NA,14,100,massive,NA,NA,Erythrastrea flabellata,Erythrastrea flabellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
342,Euphyllia ancora,Euphyllia,pacific,1,5,2,3,4,1,1,NA,NA,45,100,NA,NA,45,100,massive,spawner,spawner,Euphyllia ancora,Euphyllia ancora,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA
343,Euphyllia cristata,Euphyllia,pacific,1,5,1,3,4,1,1,NA,NA,25,12,NA,NA,25,12,massive,NA,NA,Euphyllia cristata,Euphyllia cristata,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
344,Euphyllia divisa,Euphyllia,pacific,1,4,2,3,4,1,1,NA,NA,22,100,NA,NA,22,100,massive,spawner,spawner,Euphyllia divisa,Euphyllia divisa,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
345,Euphyllia glabrescens,Euphyllia,pacific,1,4,1,3,4,1,1,NA,NA,19,NA,NA,NA,19,NA,massive,brooder,brooder,Euphyllia glabrescens,Euphyllia glabrescens,1,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA
346,Euphyllia paraancora,Euphyllia,pacific,1,5,1,3,4,1,1,NA,NA,30,NA,NA,NA,30,NA,massive,spawner,spawner,Euphyllia paraancora,Euphyllia paraancora,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
347,Euphyllia paradivisa,Euphyllia,pacific,1,5,1,3,4,1,1,NA,NA,45,NA,NA,NA,45,NA,massive,NA,NA,Euphyllia paradivisa,Euphyllia paradivisa,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
348,Euphyllia paraglabrescens,Euphyllia,pacific,1,5,1,3,4,1,1,NA,NA,51,NA,NA,NA,51,NA,massive,NA,NA,Euphyllia paraglabrescens,Euphyllia paraglabrescens,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
349,Euphyllia yaeyamaensis,Euphyllia,pacific,1,5,1,3,4,1,1,NA,NA,25.2,NA,NA,NA,25.2,NA,massive,NA,NA,Euphyllia yaeyamaensis,Euphyllia yaeyamaensis,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
350,Eusmilia fastigiata,Eusmilia,atlantic,1,4,3,3,3,4,3,3.3,2.1,20.9,130,NA,NA,20.9,130,digitate,spawner,spawner,Eusmilia fastigiata,Eusmilia fastigiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
351,Favia fragum,Favia,atlantic,2,2,1,3,4,1,1,6.2,NA,5.8,4.2,NA,NA,5.8,4.2,massive,brooder,brooder,Favia fragum,Favia fragum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
352,Favia gravida,Favia,atlantic,2,3,1,3,4,1,1,6.2,NA,9.4,20.5,NA,NA,NA,NA,massive,brooder,brooder,Favia gravida,Favia gravida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
353,Favia leptophylla,Mussismilia,atlantic,2,3,2,3,4,1,1,6.2,NA,10.2,100,NA,NA,10.2,100,massive,NA,NA,Favia leptophylla,Favia leptophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
354,Favites abdita,Favites,pacific,1,4,2,3,4,1,1,0.8,1.6,15,100,0.8,NA,15,100,massive,spawner,spawner,Favites abdita,Favites abdita,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
355,Favites acuticollis,Favites,pacific,2,3,2,3,4,1,1,6.4,1.5,9.3,94.1,NA,NA,9.3,NA,massive,spawner,NA,Favites acuticollis,Favites acuticollis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
