,species,genus,domain,cat_growthrate,cat_corallitesize,cat_colonydiameter,cat_skeletaldensity,cat_colonyheight,cat_SA_vol,cat_spacesize,dat_growth,dat_skeletal,dat_corallite,dat_colonydiameter,raw_growth,raw_skeldensity,raw_polypsize,raw_colonydiam,raw_growth_form,reproductive_mode,raw_reproductive_mode,species_keith,species_keith_updated,Andaman.Sea,Eastern.Pacific,Fiji.Caroline.Islands,Hawaii.Line.Islands,Indonesia.Philippines,Japan.Vietnam,Northern.PNG...Solomon.Islands,Persian.Gulf,Polynesia,Red.Sea.Gulf.of.Aden,Subtropical.East.Africa,Subtropical.Eastern.Australia,Subtropical.Japan,Subtropical.Western.Australia,Tonga.Samoa,Tropical.Australia,Western.Indian.Ocean,Caribbean,Brazil,East_Atlantic
402,Goniopora palmensis,Goniopora,pacific,2,2,2,2,3,1,1,7.4,1.3,2.4,58,NA,NA,2.4,NA,submassive,spawner,NA,Goniopora palmensis,Goniopora palmensis,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
403,Goniopora pandoraensis,Goniopora,pacific,3,2,2,2,5,1,5,14.6,1.4,2.7,83.3,NA,NA,2.7,NA,columnar,spawner,NA,Goniopora pandoraensis,Goniopora pandoraensis,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
404,Goniopora pearsoni,Goniopora,pacific,2,2,4,2,4,1,1,7.4,1.4,3.3,200,NA,NA,3.3,200,massive,spawner,NA,Goniopora pearsoni,Goniopora pearsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,Goniopora pendulus,Goniopora,pacific,2,2,2,2,4,1,1,7.4,1.4,5.6,58,NA,NA,5.6,NA,massive,spawner,NA,Goniopora pendulus,Goniopora pendulus,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
406,Goniopora planulata,Goniopora,pacific,3,2,2,2,5,1,5,14.6,1.4,3.1,83.3,NA,NA,3.1,NA,columnar,spawner,NA,Goniopora planulata,Goniopora planulata,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA
407,Goniopora polyformis,Goniopora,pacific,3,2,2,2,3,4,3,17.6,1.3,5.9,92.1,NA,NA,5.9,NA,digitate,spawner,NA,NA,Goniopora polyformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,Goniopora savignyi,Goniopora,pacific,3,2,2,2,5,1,5,14.6,1.4,2.2,83.3,NA,NA,2.2,NA,columnar,spawner,spawner,Goniopora savignyi,Goniopora savignyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,Goniopora somaliensis,Goniopora,pacific,1,2,4,3,1,2,1,3.6,1.6,3.1,200,NA,NA,3.1,200,encrusting,spawner,NA,Goniopora somaliensis,Goniopora somaliensis,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA
410,Goniopora stokesi,Goniopora,pacific,3,2,1,2,5,1,5,14.6,1.4,4.7,10,NA,NA,4.7,10,columnar,spawner,NA,Goniopora stokesi,Goniopora stokesi,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA
411,Goniopora sultani,Goniopora,pacific,3,3,2,2,5,1,5,14.6,1.5,7.8,83.3,NA,NA,7.8,NA,columnar,spawner,NA,Goniopora sultani,Goniopora sultani,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,Goniopora tantillus,Goniopora,pacific,1,2,1,3,1,2,1,3.6,1.6,2.9,39.7,NA,NA,2.9,NA,encrusting,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,Goniopora tenella,Goniopora,pacific,1,2,1,3,1,2,1,3.6,1.6,2.9,39.7,NA,NA,2.9,NA,encrusting,spawner,NA,Goniopora tenella,Goniopora tenella,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
414,Goniopora tenuidens,Goniopora,pacific,2,2,2,2,4,1,1,7.4,1.4,3.7,58,NA,NA,NA,NA,massive,spawner,spawner,Goniopora tenuidens,Goniopora tenuidens,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA
415,Gyrosmilia interrupta,Gyrosmilia,pacific,1,3,1,3,3,1,1,NA,NA,8.1,50,NA,NA,8.1,50,submassive,NA,NA,Gyrosmilia interrupta,Gyrosmilia interrupta,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA
416,Halomitra clavator,Halomitra,pacific,2,2,1,3,4,1,1,6.5,1.5,5.3,24.2,NA,NA,5.3,NA,massive,spawner,NA,Halomitra clavator,Halomitra clavator,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
417,Halomitra pileus,Halomitra,pacific,2,2,2,3,4,1,1,6.5,1.5,4.8,60,NA,NA,4.8,60,massive,spawner,spawner,Halomitra pileus,Halomitra pileus,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA
418,Heliofungia actiniformis,Heliofungia,pacific,2,5,1,3,4,1,1,5.8,1.8,142,20,5.8,NA,142,20,massive,MIXED,NA,Heliofungia actiniformis,Heliofungia actiniformis,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
419,Heliofungia fralinae,Heliofungia,pacific,2,5,1,3,4,1,1,6.5,1.7,90,24.2,NA,NA,90,NA,massive,NA,NA,Fungia fralinae,Heliofungia fralinae,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
420,Helioseris cucullata,Helioseris,atlantic,3,2,1,5,2,4,2,12.5,2.3,4.6,24,NA,NA,NA,24,laminar,brooder,NA,Helioseris cucullata,Helioseris cucullata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
421,Herpolitha limax,Herpolitha,pacific,2,5,1,4,4,1,1,10,1.8,370,30.5,10,NA,370,NA,massive,spawner,spawner,Herpolitha limax/weberi/Sandolithia africana,Herpolitha limax,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
423,Homophyllia australis,Homophyllia,pacific,1,5,1,4,1,1,1,NA,NA,75,4.3,NA,NA,75,4.3,solitary_attached,spawner,NA,Scolymia australis,Homophyllia australis,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
424,Homophyllia bowerbanki,Homophyllia,pacific,1,5,3,4,4,1,1,NA,NA,25,175,NA,NA,25,175,massive,spawner,NA,Homophyllia bowerbanki,Homophyllia bowerbanki,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA
425,Horastrea indica,Horastrea,pacific,1,4,1,4,4,1,1,NA,NA,13.8,NA,NA,NA,13.8,NA,massive,spawner,NA,Horastrea indica,Horastrea indica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
426,Hydnophora bonsai,Hydnophora,pacific,3,2,3,2,3,4,3,15.2,1.4,4.5,149.6,NA,NA,4.5,NA,digitate,spawner,NA,Hydnophora bonsai,Hydnophora bonsai,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
427,Hydnophora exesa,Hydnophora,pacific,2,2,2,3,3,1,1,6.4,1.5,4.5,100,NA,NA,4.5,100,submassive,spawner,spawner,Hydnophora exesa,Hydnophora exesa,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
428,Hydnophora grandis,Hydnophora,pacific,3,2,3,3,2,3,2,12.6,1.5,4.7,135.4,NA,NA,4.7,NA,encrusting_long_uprights,spawner,NA,Hydnophora grandis,Hydnophora grandis,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
429,Hydnophora microconos,Hydnophora,pacific,2,3,3,2,4,1,1,9.8,1.4,7.2,118,8.9,1.4,7.2,NA,massive,spawner,spawner,Hydnophora microconos,Hydnophora microconos,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA
430,Hydnophora pilosa,Hydnophora,pacific,3,3,3,3,5,1,5,12.6,1.6,8,135.4,NA,NA,8,NA,columnar,spawner,spawner,Hydnophora pilosa,Hydnophora pilosa,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
431,Hydnophora rigida,Hydnophora,pacific,5,3,4,2,4,3,4,71,1.3,6.7,341.8,71,NA,6.7,NA,branching_closed,spawner,spawner,Hydnophora rigida,Hydnophora rigida,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA
432,Indophyllia macassarensis,Indophyllia,pacific,1,5,1,4,4,1,1,NA,NA,45,4.5,NA,NA,NA,4.5,massive,spawner,NA,Indophyllia macassarensis,Indophyllia macassarensis,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
433,Isophyllia rigida,Isophyllia,atlantic,2,4,1,4,4,1,1,6.2,NA,18.2,5.8,NA,NA,18.2,5.8,massive,brooder,NA,Isophyllia rigida,Isophyllia rigida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
434,Isophyllia sinuosa,Isophyllia,atlantic,2,3,1,4,4,1,1,6.2,NA,11.2,8.3,NA,NA,11.2,8.3,massive,brooder,brooder,Isophyllia sinuosa,Isophyllia sinuosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
435,Isopora brueggemanni,Isopora,pacific,5,1,3,2,5,4,5,74.8,1.4,1.6,167.1,74.8,NA,1.6,NA,branching_open,brooder,brooder,Acropora brueggemanni,Isopora brueggemanni,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA
436,Isopora crateriformis,Isopora,pacific,2,1,2,4,1,2,1,6.3,1.9,0.8,86.7,NA,NA,0.8,86.7,encrusting,brooder,NA,Acropora crateriformis,Isopora crateriformis,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
437,Isopora cuneata,Isopora,pacific,2,1,1,4,1,2,1,6.3,2,1,20,NA,NA,1,20,encrusting,brooder,brooder,Acropora cuneata,Isopora cuneata,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA
438,Isopora elizabethensis,Isopora,pacific,5,1,3,2,5,4,5,58.7,1.4,1.2,146.7,NA,NA,NA,NA,branching_open,brooder,NA,Acropora elizabethensis,Isopora elizabethensis,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA
439,Isopora palifera,Isopora,pacific,5,1,3,3,5,4,5,58.7,1.5,1.4,146.7,NA,1.5,1.4,NA,branching_open,brooder,brooder,Isopora palifera,Isopora palifera,1,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA
440,Isopora togianensis,Isopora,pacific,5,1,3,2,5,4,5,58.7,1.4,1.2,150,NA,NA,1.2,150,branching_open,brooder,brooder,Isopora togianensis,Isopora togianensis,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,Leptastrea aequalis,Leptastrea,pacific,1,2,1,3,1,2,1,3.2,1.8,2.8,20,NA,NA,2.8,20,encrusting,NA,NA,Leptastrea aequalis,Leptastrea aequalis,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
442,Leptastrea bewickensis,Leptastrea,pacific,1,2,2,3,1,2,1,3.2,1.8,4.2,100,NA,NA,4.2,100,encrusting,NA,NA,Leptastrea bewickensis,Leptastrea bewickensis,1,NA,1,1,1,1,1,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA
443,Leptastrea bottae,Leptastrea,pacific,1,2,1,3,1,2,1,3.2,1.7,3.5,16.5,NA,NA,3.5,NA,encrusting,spawner,spawner,Leptastrea bottae,Leptastrea bottae,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,NA,NA,NA
444,Leptastrea inaequalis,Leptastrea,pacific,2,2,1,2,4,1,1,6.5,1.5,4.1,24.2,NA,NA,4.1,NA,massive,NA,NA,Leptastrea inaequalis,Leptastrea inaequalis,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA
445,Leptastrea pruinosa,Leptastrea,pacific,1,2,1,3,1,2,1,3.2,1.8,3.6,16.5,NA,NA,3.6,NA,encrusting,NA,NA,Leptastrea pruinosa,Leptastrea pruinosa,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA
446,Leptastrea purpurea,Leptastrea,pacific,1,3,2,3,1,2,1,1.8,1.6,10,100,1.8,1.6,10,100,encrusting,spawner,spawner,Leptastrea purpurea,Leptastrea purpurea,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
447,Leptastrea transversa,Leptastrea,pacific,1,3,1,4,1,2,1,3.2,1.8,9.2,16.5,NA,NA,9.2,NA,encrusting,NA,NA,Leptastrea transversa,Leptastrea transversa,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA
448,Leptoria irregularis,Leptoria,pacific,1,3,3,3,1,2,1,3.2,1.8,6.3,150,NA,NA,6.3,150,encrusting,spawner,NA,Leptoria irregularis,Leptoria irregularis,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
449,Leptoria phrygia,Leptoria,pacific,2,2,2,3,4,1,1,6.4,1.6,3.5,94.1,NA,1.6,3.5,NA,massive,spawner,spawner,Leptoria phrygia,Leptoria phrygia,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA
450,Leptoseris amitoriensis,Leptoseris,pacific,3,2,2,5,2,4,2,12.5,2.3,3.7,82.7,NA,NA,3.7,NA,laminar,spawner,NA,Leptoseris amitoriensis,Leptoseris amitoriensis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
451,Leptoseris explanata,Leptoseris,pacific,3,2,2,5,2,4,2,12.5,2.3,4,82.7,NA,NA,4,NA,laminar,spawner,spawner,Leptoseris explanata,Leptoseris explanata,1,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA
452,Leptoseris foliosa,Leptoseris,pacific,3,1,2,5,2,4,2,12.5,2.2,1.4,82.7,NA,NA,1.4,NA,laminar,spawner,NA,Leptoseris foliosa,Leptoseris foliosa,1,NA,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA
453,Leptoseris fragilis,Leptoseris,NA,3,2,2,5,2,4,2,12.5,2.3,3.7,82.7,NA,NA,NA,NA,laminar,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,Leptoseris gardineri,Leptoseris,pacific,3,2,5,5,2,4,2,12.5,2.2,2.5,866.7,NA,NA,2.5,866.7,laminar,spawner,NA,Leptoseris gardineri,Leptoseris gardineri,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
455,Leptoseris glabra,Leptoseris,NA,3,3,1,5,2,4,2,12.5,2.4,9,47,NA,NA,NA,NA,laminar,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,Leptoseris hawaiiensis,Leptoseris,pacific,1,2,1,4,1,2,1,3.1,2.1,3.2,39.5,NA,NA,3.2,NA,encrusting,spawner,NA,Leptoseris hawaiiensis,Leptoseris hawaiiensis,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
457,Leptoseris mycetoseroides,Leptoseris,pacific,3,2,3,5,2,4,2,12.5,2.3,4.4,133.3,NA,NA,4.4,133.3,laminar,spawner,NA,Leptoseris mycetoseroides,Leptoseris mycetoseroides,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
458,Leptoseris papyracea,Leptoseris,pacific,3,2,2,5,2,4,2,12.5,2.3,4.4,82.7,NA,NA,4.4,NA,laminar,spawner,NA,Leptoseris papyracea,Leptoseris papyracea,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
459,Leptoseris scabra,Leptoseris,pacific,1,3,1,4,1,2,1,3.1,2.1,6.3,39.5,NA,NA,6.3,NA,encrusting,spawner,NA,Leptoseris scabra,Leptoseris scabra,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
460,Leptoseris solida,Leptoseris,pacific,1,2,1,4,1,2,1,3.1,2.1,3.8,39.5,NA,NA,3.8,NA,encrusting,spawner,NA,Leptoseris solida,Leptoseris solida,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA
461,Leptoseris striata,Leptoseris,pacific,1,2,1,5,1,2,1,3.1,2.1,4,7.5,NA,NA,4,7.5,encrusting,spawner,NA,Leptoseris striata,Leptoseris striata,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
462,Leptoseris tubulifera,Leptoseris,pacific,1,2,1,4,1,2,1,3.1,2,2.5,39.5,NA,NA,2.5,NA,encrusting,spawner,NA,Leptoseris tubulifera,Leptoseris tubulifera,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
463,Leptoseris yabei,Leptoseris,pacific,3,2,2,5,2,4,2,12.5,2.2,3.7,100,NA,NA,3.7,100,laminar,spawner,NA,Leptoseris yabei,Leptoseris yabei,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA
464,Lithophyllon concinna,Lithophyllon,pacific,2,5,1,3,4,1,1,6.5,1.8,160,16,NA,NA,160,16,massive,spawner,spawner,Fungia concinna,Lithophyllon concinna,1,NA,1,1,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
465,Lithophyllon ranjithi,Lithophyllon,pacific,3,2,1,4,2,4,2,12.6,1.9,2.9,50,NA,NA,NA,NA,laminar,spawner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,Lithophyllon repanda,Lithophyllon,pacific,2,5,1,3,4,1,1,6.5,1.8,150,30,NA,NA,150,30,massive,spawner,spawner,Fungia repanda,Lithophyllon repanda,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
467,Lithophyllon scabra,Lithophyllon,pacific,2,5,1,3,4,1,1,6.5,1.7,78,24.2,NA,NA,78,NA,massive,spawner,NA,Fungia scabra,Lithophyllon scabra,1,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
468,Lithophyllon spinifer,Lithophyllon,pacific,2,5,1,3,4,1,1,6.5,1.7,118,12.5,NA,NA,118,12.5,massive,spawner,NA,Fungia spinifer/Cycloseris colini,Lithophyllon spinifer,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
470,Lithophyllon undulatum,Lithophyllon,pacific,1,2,1,4,1,2,1,3.2,1.9,5.1,50,NA,NA,5.1,50,encrusting,spawner,NA,Lithophyllon undulatum,Lithophyllon undulatum,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
472,Lobactis scutaria,Lobactis,pacific,2,5,1,3,4,1,1,9.3,1.8,169,17,9.3,NA,169,17,massive,spawner,spawner,Fungia scutaria,Lobactis scutaria,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,NA,NA,NA
473,Lobophyllia corymbosa,Lobophyllia,pacific,1,5,3,4,4,1,1,NA,NA,47.5,125,NA,NA,47.5,125,massive,spawner,NA,Lobophyllia corymbosa,Lobophyllia corymbosa,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
474,Lobophyllia dentata,Lobophyllia,pacific,1,5,4,4,4,1,1,NA,NA,32.6,200,NA,NA,32.6,200,massive,spawner,NA,Lobophyllia dentata,Lobophyllia dentata,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
475,Lobophyllia diminuta,Lobophyllia,pacific,1,5,1,4,4,1,1,NA,NA,42.5,NA,NA,NA,42.5,NA,massive,spawner,NA,Lobophyllia diminuta,Lobophyllia diminuta,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
476,Lobophyllia flabelliformis,Lobophyllia,pacific,1,5,4,4,4,1,1,NA,NA,59.5,200,NA,NA,59.5,200,massive,spawner,NA,Lobophyllia flabelliformis,Lobophyllia flabelliformis,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
477,Lobophyllia hataii,Lobophyllia,pacific,1,5,1,4,4,1,1,NA,NA,30,NA,NA,NA,30,NA,massive,spawner,NA,Lobophyllia hataii,Lobophyllia hataii,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA
478,Lobophyllia hemprichii,Lobophyllia,pacific,1,5,5,4,4,1,1,NA,NA,26.8,500,NA,NA,26.8,500,massive,spawner,spawner,Lobophyllia hemprichii,Lobophyllia hemprichii,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
479,Lobophyllia robusta,Lobophyllia,pacific,1,5,3,4,4,1,1,NA,NA,47.5,NA,NA,NA,47.5,NA,massive,spawner,NA,Lobophyllia robusta,Lobophyllia robusta,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA
480,Lobophyllia rowleyensis,Parascolymia,pacific,1,4,1,4,4,1,1,NA,NA,13.4,NA,NA,NA,13.4,NA,massive,spawner,NA,Lobophyllia rowleyensis,Lobophyllia rowleyensis,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA
481,Lobophyllia serrata,Lobophyllia,pacific,1,5,4,4,4,1,1,NA,NA,40.2,200,NA,NA,40.2,200,massive,spawner,NA,Lobophyllia serratus,Lobophyllia serrata,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,Lobophyllia vitiensis,Parascolymia,pacific,1,5,1,4,4,1,1,NA,NA,70,11.2,NA,NA,70,11.2,massive,spawner,spawner,Lobophyllia vitiensis,Lobophyllia vitiensis,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA
483,Madracis carmabi,Madracis,atlantic,3,1,2,4,3,4,3,24.4,1.9,1.8,62.9,NA,NA,NA,NA,digitate,brooder,NA,Madracis carmabi,Madracis carmabi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
484,Madracis decactis,Madracis,atlantic,3,2,1,4,3,4,3,12.7,2.1,2.2,9,NA,NA,2.2,9,digitate,brooder,NA,Madracis decactis,Madracis decactis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
485,Madracis formosa,Madracis,atlantic,3,1,1,4,3,4,3,10.5,2.3,1.6,10.2,NA,NA,1.6,10.2,digitate,brooder,brooder,Madracis formosa,Madracis formosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
486,Madracis kirbyi,Madracis,pacific,3,2,3,4,3,4,3,12.7,2.1,2.6,125,NA,NA,2.6,125,digitate,brooder,NA,Madracis kirbyi,Madracis kirbyi,1,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA
487,Madracis mirabilis,Madracis,atlantic,3,1,1,4,3,4,3,22,1.9,1.5,14.7,22,NA,1.5,14.7,digitate,brooder,brooder,Madracis mirabilis,Madracis mirabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
488,Madracis pharensis,Madracis,NA,1,2,1,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,digitate,brooder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,Madracis senaria,Madracis,atlantic,1,1,1,4,1,2,1,2.6,2.6,1.8,19.1,NA,NA,1.8,NA,encrusting,brooder,brooder,Madracis senaria,Madracis senaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
490,Manicina areolata,Manicina,atlantic,2,4,1,1,4,1,1,6.2,NA,15.1,7.7,NA,NA,15.1,7.7,massive,brooder,brooder,Manicina areolata,Manicina areolata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
491,Meandrina braziliensis,Meandrina,atlantic,1,4,2,4,3,1,1,3.3,2.1,13.3,56.4,NA,NA,13.3,NA,submassive,spawner,NA,Meandrina braziliensis,Meandrina braziliensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
492,Meandrina danae,Meandrina,atlantic,1,4,2,5,3,1,1,3.3,2.1,21,56.4,NA,NA,NA,NA,submassive,spawner,NA,Meandrina danae,Meandrina danae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
493,Meandrina meandrites,Meandrina,atlantic,1,4,1,4,3,1,1,1.2,2.1,13.5,16.3,1.2,NA,13.5,16.3,submassive,spawner,spawner,Meandrina meandrites,Meandrina meandrites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
494,Merulina ampliata,Merulina,pacific,3,3,3,4,2,4,2,22.5,2,6.2,184.6,22.5,NA,6.2,NA,laminar,spawner,spawner,Merulina ampliata,Merulina ampliata,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
495,Merulina scabricula,Merulina,pacific,3,2,3,4,2,4,2,12.5,2,3.5,134.8,NA,NA,3.5,NA,laminar,spawner,NA,Merulina scabricula,Merulina scabricula,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA
